"SC_L_G10a"	"SC_L_G10b"	"SC_L_G10c"	"SC_L_G10d"	"SC_L_G11a"	"SC_L_G11b_merged"	"SC_L_G11c_merged"	"SC_L_G11d_merged"	"SC_L_G12a"	"SC_L_G12b"	"SC_L_G12c"	"SC_L_G12d"	"SC_L_G13a"	"SC_L_G13b"	"SC_L_G13c_merged"	"SC_L_G14a"	"SC_L_G14b_merged"	"SC_L_G14c_merged"	"SC_L_G14d"	"SC_L_G1a"	"SC_L_G1b"	"SC_L_G1c"	"SC_L_G1d"	"SC_L_G2a"	"SC_L_G2b"	"SC_L_G2c"	"SC_L_G2d"	"SC_L_G3a"	"SC_L_G3b"	"SC_L_G3c"	"SC_L_G3d"	"SC_L_G4a"	"SC_L_G4b"	"SC_L_G4c"	"SC_L_G4d"	"SC_L_G5a_merged"	"SC_L_G5b"	"SC_L_G5c"	"SC_L_G5d"	"SC_L_G6a"	"SC_L_G6b"	"SC_L_G6c_merged"	"SC_L_G6d"	"SC_L_G7a_merged"	"SC_L_G7b"	"SC_L_G7c"	"SC_L_G7d"	"SC_L_G8a"	"SC_L_G8b"	"SC_L_G8c"	"SC_L_G8d"	"SC_L_G9a"	"SC_L_G9b_merged"	"SC_L_G9c"	"SC_L_G9d_merged"
"4930556N13Rik"	1.85433492134189	1.00426002609782	1.75540156719499	3.56886949204613	0	0	0.888442529512018	0	1.55853541939024	3.09885498731079	0	0	0	0	2.77249924855655	46.048429707702	101.81451117741	25.1946854678467	4.69214222886681	0	10.3963844332348	22.4284806671175	0	3.34593545323861	0	14.9086354600473	0	11.2449520848888	0	0	0	4.11145014878876	0	0	0	1.86200914137115	0	0	5.83557307121803	2.35909794338715	3.76544029539354	1.81000153319056	1.78018046980609	3.57923053104996	0	1.62415956655156	0	0	1.75266376667768	2.19053202005878	0.921489255681551	3.57910206697406	0	0.919350391827188	3.47015486298115
"4932702P03Rik"	14.8346793707351	46.1959612004995	21.9425195899374	18.7365648332422	15.6253029134419	7.66096799189193	10.6613103541442	16.4760327785266	18.7024250326829	33.0544531979818	13.0772011806921	11.2670267499306	10.65405193144	13.5351335352657	5.5449984971131	6.57834710110028	0	4.19911424464111	23.4607111443341	0	0	0	39.3048747370882	11.7107740863351	0	10.1649787227595	20.6771021432609	0	9.17340838292554	30.1553692442802	8.33923441521964	2.46687008927326	10.9653438354721	15.3927308975967	23.3779765026531	12.1030594189125	7.75937944960881	5.8565893342437	3.50134384273082	2.94887242923393	16.0031212554225	16.2900137987151	17.8018046980609	21.4753831862997	7.33134612791239	13.8053563156882	27.5461225962339	8.70704014927986	7.01065506671072	5.47633005014696	2.76446776704465	10.7373062009222	4.11207889310704	3.67740156730875	10.4104645889435
"6230400D17Rik"	12.0531769887223	25.1065006524454	9.65470861957245	8.92217373011533	0.97658143209012	7.66096799189193	5.33065517707211	1.93835679747371	14.8060864842073	4.13180664974772	18.6817159724174	19.7172968123786	8.19542456264616	40.6054006057972	51.2912360982962	31.2471487302263	0	0	51.6135645175349	0	31.1891532997044	0	25.6336139589706	8.92249454196962	2.52011998017473	0	0	16.8674281273331	9.17340838292554	16.4483832241529	20.0141625965271	18.9126706844283	4.79733792801905	6.73431976769857	16.2937411988188	9.31004570685577	5.54241389257772	2.34263573369748	9.33691691394884	5.89774485846786	22.5926417723612	9.95500843254811	15.1315339933518	13.4221144914373	8.96053415633736	11.3691169658609	10.8515028409406	41.6003029354482	21.0319652001322	12.0479261103233	8.29340330113396	9.84253068417866	2.46724733586422	4.59675195913594	5.20523229447173
"9330162012Rik"	151.128296089364	185.788104828096	97.424786979322	158.814692396053	111.330283258274	97.4037358969117	78.1829425970576	77.5342718989486	161.30841590689	84.7020363198283	120.497068022092	127.692969832547	117.19457124584	257.167537170049	87.3337263295313	146.368222999481	298.171068448129	75.58405640354	354.256738279444	186.016905829593	194.065842753716	214.841235863968	124.750254600323	125.472579496448	132.306298959173	176.870629776015	212.974152075587	165.863043252109	251.851757422138	245.35504976028	187.632774342442	160.346555802762	104.856100426702	112.559344688676	211.818635584645	126.616621613238	138.560347314443	112.446515217479	148.223556008938	133.87880828722	132.731770412622	152.945129554603	186.028859094736	204.016140269847	145.812328544035	154.295158822398	136.06115100564	157.694171592513	140.213101334214	166.480433524467	167.711044534042	134.216327511527	86.3536567552478	101.128543100991	90.22402643751
"9430091E24Rik"	190.996496898214	241.022406263476	109.712597949687	121.341562729568	105.470794665733	114.914519878379	99.5055633053461	102.732910266107	190.141321165609	161.140459340161	176.542215939344	145.532428853271	40.9771228132308	255.233946665011	180.212451156176	98.6752065165042	79.9971159251077	323.331796837366	126.687840179404	138.724472144103	80.8607678140485	41.3156222815323	0	37.9206018033709	14.4906898860047	96.9061304903071	27.9140878934022	56.9275699297493	34.1917948818134	20.5604790301911	84.2262675937184	92.0964833328683	104.856100426702	63.4950149525866	77.926588342177	146.167717597636	161.838485663269	107.761243750084	112.043002967386	133.289033801374	133.673130486471	133.940113456102	122.83245241662	105.587300665974	179.210683126747	167.28843535481	121.035993225876	203.164270149863	197.174673751239	196.052615795261	97.6778611022444	102.004408908761	99.5123092131903	140.66060994956	137.071117087756
"9630015K15Rik"	50.9942103369019	46.1959612004995	55.2951493666422	63.3474334838188	57.6183044933171	56.9100479397686	31.9839310624327	31.9828871583163	42.0804563235365	26.8567432233602	26.1544023613843	31.9232424581368	51.6311747446708	24.1698813129745	23.5662436127307	14.8012809774756	50.9072555887049	0	16.4224978010338	100.890525195711	71.6195372067287	94.4357080720737	102.534455835882	52.9773113429446	48.5123096183636	183.647282257855	21.710957250424	52.7107128979161	30.856010015295	21.9311776322038	33.3569376608786	52.6265619044961	51.4000492287756	46.1781926927902	24.79482356342	47.4812331049644	41.0138628050751	22.2550394701261	39.6818968842826	44.233086438509	44.2439234708741	22.6250191648821	31.1531582216066	26.8442289828747	64.3529271227865	65.7784624453381	32.5545085228218	39.6654051244971	14.0213101334214	30.667448280823	40.5455272499882	42.0544492869452	24.6724733586422	41.3707676322235	31.2313937668304
"A230108P19Rik"	4.63583730335472	19.0809404958585	20.1871180227424	35.6886949204613	11.7189771850814	19.6996319791507	15.9919655312163	15.5068543797897	16.3646219035975	16.5272265989909	13.0772011806921	33.8010802497919	3.27816982505846	19.3359050503796	2.77249924855655	90.4522726401289	55.755565644772	4.19911424464111	51.6135645175349	0	1.15515382591498	21.2480343162166	29.0514291535	0.557655908873101	1.26005999008737	18.974626949151	0	13.3533806008054	0	10.9655888161019	3.33569376608786	9.86748035709303	0	0.962045681099796	5.66738824306742	11.1720548482269	2.21696555703109	5.8565893342437	9.33691691394884	6.48751934431465	10.3549608123322	20.8150176316915	4.45045117451523	16.1065373897248	13.0335042273998	10.5570371825851	8.34730987764663	20.3164270149863	14.8976420167603	21.9053202005878	22.1157421363572	14.3164082678962	17.2707313510496	11.9515550937535	25.1586227566134
"A430057M04Rik"	5.56300476402566	2.00852005219563	0	5.3533042380692	0	5.47211999420852	3.55377011804807	0.969178398736857	7.01340938725608	1.03295166243693	3.73634319448347	3.75567558331021	2.45862736879385	0	0	0	0	0	0	0	0	15.345802561712	0	2.23062363549241	0	0	6.20313064297827	1.40561901061109	0	5.48279440805095	0	0	0	0	0	2.79301371205673	0	5.8565893342437	0	1.76932345754036	1.88272014769677	2.71500229978585	16.9117144631579	21.4753831862997	0	6.49663826620623	7.51257888988196	0.96744890547554	3.50532753335536	3.28579803008817	8.29340330113396	3.57910206697406	0.822415778621407	0.919350391827188	8.67538715745289
"AA467197"	0	0	0	0	0	14.2275119849422	0.888442529512018	0	0	0	0	1.87783779165511	4.9172547375877	0	0	0	0	0	11.730355572167	0	16.1721535628097	33.0524978252258	0	7.24952681535032	0	0	0	0	62.5459662472196	0	0	0	0	19.2409136219959	5.66738824306742	0	0	7.02790720109244	0	2.94887242923393	4.70680036924192	0.905000766595282	0	0	0	0.812079783275779	0	0	0	0	7.37191404545241	0	0	0	0.867538715745289
"AW495222"	15.761846831406	11.046860287076	71.0937634713971	49.0719555156343	17.5784657776222	21.8884799768341	18.6572931197524	68.8116663103169	5.45487396786584	75.4054713578959	39.2316035420764	74.1745927703767	17.2103915815569	25.1366765654935	23.5662436127307	19.7350413033008	19.3932402242685	0	39.8832089453679	0	0	2.36089270180184	0	0	1.26005999008737	10.1649787227595	0	0	7.50551594966635	0	6.67138753217571	1.6445800595155	8.9093418663211	5.77227408659878	10.6263529557514	7.44803656548461	4.43393111406217	9.37054293478992	12.8382607566797	10.0261662593954	22.5926417723612	15.3850130321198	32.0432484565096	4.47403816381244	20.3648503553122	22.7382339317218	35.0587014861158	0.96744890547554	0.87633188333884	35.0485123209405	20.2727636249941	51.0022044543803	28.7845522517493	46.8868699831866	33.8340099140663
