representative	grouped_terms	genes
localization	localization;establishment of localization	Acacb;Atp5f1e;Slc25a31;Nsun2;Tomm5;Akap10;Mfn2;Ahcyl1;Slc25a26;Snap29;Dmac2l;Prelid1;Armcx3;Atp5pb;Mul1;Tspo;Eng;Fxr1;Timm8a1;Ndufaf2;Phb2;Mff;Mterf4;Timm8b;Marchf5;Slc25a2;Tomm34;Slc25a46;Guk1;Sfxn2;Mtch2;Ppm1k;Camk1;Atp5if1;Slc25a33;Atp5po;Bcl2l11;Abcb6;Vdac2;Spire1;Pink1;Slc25a4;Slc25a22;Slc8b1;Atp5f1a;Micu1;Abcb8;Oxct1;Atp5mc3;Mtx1;Timm17a;Alkbh7;Ifi27;Crbn;Mfn1;Hspd1;Cry1;Atp5me;Synj2;Tomm6;Ucp2;Vti1b;Mpc2;Bax;Aup1;Atp5f1d;Plscr3;Sfxn1;Macroh2a2;Mtch1;Slc25a39;Timm29;Timm50;Hspa9;Prelid2;Slc25a40;Tomm22;Cenpq;Atp5f1b;Slc25a14;Slc25a3;Slc25a12;Phax;Cdk5;Vdac1;Bid;Sprn;Dnajc15;Gba1;Bcl2;Tmbim1;Cdc42bpa;Adcy10;Bak1;Stoml2;Samm50;Cacna1d;Rab5if;Sdhd;Micu2;Spg7;Pisd;Atp5mc1;Mipep;Pck2;Oxa1l;Timm13;Htatip2;Bok;Ska3;Abcd2;Slc25a24;Ppif;Timm8a2;Slc3a1;Bcl2l1;Hexb
aromatic compound biosynthetic process	aromatic compound biosynthetic process;heterocycle biosynthetic process	Ndufc2;Sycp3;Ndufb9;Ndufs1;Ndufb11;Gars1;Tmem14c;Acacb;Atp5f1e;Prdx2;Ankrd42;Ncor1;Taf5;Nr2c2;Dmac2l;Armcx3;Prdx3;Atp5pb;Eng;Sdha;Ndufs6;Nif3l1;Phb1;Ndufa8;Phb2;Mterf4;Cebpz;Qdpr;Guk1;Mthfs;Bud31;Ndufa9;Acod1;Camk1;Atp5if1;Slc25a33;Atp5po;Abcb6;Polr3h;Primpol;Pink1;Atp5f1a;Pdk4;Atp5mc3;Acat1;Mlycd;Hint1;Ifi27;Mthfd1l;Apex1;Ndufb5;Cry1;Atp5me;Ndufb8;Dhrs7b;Acot7;Kat14;Pus1;Wdr77;Pnpo;Iba57;Mpc2;Ndufv1;Atp5f1d;Polq;Kars1;Macroh2a2;Rfk;Slc25a39;Coq7;Acss1;Atp5f1b;Slc25a12;Pdk3;Cdk5;Ndufs4;Snw1;Vdac1;Tk2;Adcy10;Stoml2;Sdhd;Atp5mc1;Ndufs2;Mthfsl;Spr;Htatip2;Mrpl12;Bcl2l1;Mxd3;Pif1;Hexb;Nfs1;Pycr2
anatomical structure development	anatomical structure development;developmental process	Lrrn3;Ptcd2;Oma1;Sycp3;Dhx30;Cdh12;Tmem14c;Acacb;Nsun2;Prdx2;Ncor1;Mfn2;Abi1;Nr2c2;Prelid1;Prdx3;Mul1;Tspo;Eng;Sdha;Fxr1;Ndufs6;Nif3l1;Phb2;Mff;Mterf4;Nrdc;Marchf5;Slc25a46;Sdhaf2;Mtch2;Acod1;Camk1;Atp5if1;Bcl2l11;Abcb6;Spire1;Pink1;Slc25a4;Atp5f1a;Sptlc2;Htra2;Mthfd1l;Mfn1;Hspd1;Ncaph2;Adck1;Dhrs7b;Mpv17;Kat14;Wdr77;Ucp2;Bax;Gpx4;Tmem65;Lrfn4;Prxl2a;Polq;Sfxn1;Macroh2a2;Prdx4;Casp3;Hspa9;Agpat5;Slc25a40;Coq7;Txnrd1;Atp5f1b;Slc25a12;Cdk5;Ndufs4;Snw1;Fam210b;Sco2;Gba1;Bcl2;Tmbim1;Adcy10;Ung;Cenpu;Bak1;Bik;Ogdh;Ndufs2;Pck2;Nln;Spr;Htatip2;Bcl2a1d;Abcd2;Coq8b;Ppif;Ldlrad4;Bcl2l1;Hexb;Slc25a31;Dlec1;Ptgr3
regulation of mitochondrial membrane permeability	regulation of mitochondrial membrane permeability;regulation of membrane permeability	Mtch2;Ppm1k;Atp5if1;Bcl2l11;Vdac2;Slc25a4;Alkbh7;Bax;Bid;Bcl2;Bak1;Spg7;Bok;Ppif;Bcl2l1
positive regulation of cellular process	positive regulation of cellular process;positive regulation of biological process	Prdx2;Ankrd42;Ncor1;Mfn2;Abi1;Taf5;Nr2c2;Prelid1;Armcx3;Prdx3;Mul1;Tspo;Eng;Fxr1;Nif3l1;Phb1;Phb2;Mff;Nrdc;Cebpz;Marchf5;Dcun1d3;Mtch2;Ide;Acod1;Camk1;Atp5if1;Slc25a33;Bcl2l11;Spire1;Pink1;Slc25a4;Atp5f1a;Sptlc2;Oxct1;Htra2;Mlycd;Timm17a;Hint1;Crbn;Mfn1;Apex1;Hspd1;Ncaph2;Adck1;Cry1;Trub2;Pus1;Wdr77;Rcc1l;Mpc2;Bax;Kars1;Macroh2a2;Mtch1;Casp3;Coq7;Txnrd1;Tomm22;Cenpq;Atp5f1b;Nsun4;Slc25a12;Cdk5;Ndufs4;Snw1;Vdac1;Fam210b;Bid;Gba1;Lipt2;Bcl2;Adcy10;Bak1;Stoml2;Cacna1d;Rpusd4;Bik;Guf1;Pck2;Htatip2;Mrpl12;Bok;Bcl2a1d;Abcd2;Rad23a;Bcl2l1;Hexb;Ahcyl1;Ucp2;Armc10;Tmbim1;Fanci
autophagy	autophagy;process utilizing autophagic mechanism	Usp30;Mfn2;Snap29;Mul1;Tspo;Phb2;Fundc2;Slc25a46;Atp5if1;Bcl2l11;Pink1;Slc25a4;Sptlc2;Htra2;Vti1b;Aup1;Vdac1;Bid;Gba1;Bcl2;Adcy10;Cisd1;Bok
cell communication	cell communication;signaling	Pi4ka;Slc25a31;Nsun2;Prdx2;Ncor1;Mfn2;Abi1;Ahcyl1;Snap29;Nr2c2;Prelid1;Mul1;Tspo;Eng;Fxr1;Phb1;Ndufaf2;Phb2;Mff;Sdhaf2;Mtch2;Bud31;Ide;Acod1;Camk1;Atp5if1;Slc25a33;Bcl2l11;Vdac2;Pink1;Slc25a4;Slc25a22;Slc8b1;Pdk4;Oxct1;Htra2;Hint1;Ifi27;Crbn;Hspd1;Cry1;Ucp2;Mpc2;Bax;Plscr3;Gls;Kars1;Lonp1;Casp3;Timm50;Armc10;Ifi27l2a;Pdk3;Cdk5;Snw1;Vdac1;Bid;Dnajc15;Gba1;Bcl2;Tmbim1;Cdc42bpa;Adcy10;Bak1;Stoml2;Cacna1d;Bik;Pck2;Itgad;Bok;Bcl2a1d;Fhit;Ppif;Ldlrad4;Bcl2l1
purine ribonucleoside triphosphate binding	purine ribonucleoside triphosphate binding;ATP binding	Guk1;Mthfs;Cdc123;Pfkp;Ide;Camk1;Abcb6;Pink1;Dars2;Atp5f1a;Abcb8;Pdk4;Mthfd1l;Mfn1;Hspd1;Pccb;Adck1;Hspe1;Tufm;Gfm2;Aldh18a1;Mtpap;Ckmt1;Polq;Kars1;Rfk;Lonp1;Hspa9;Nubpl;Acss1;Atp5f1b;Fars2;Pdk3;Cdk5;Acaca;Afg3l1;Tk2;Gtpbp3;Cdc42bpa;Adcy10;Dnah17;Guf1;Spg7;Pars2;Mthfsl;Pck2;Abcd2;Coq8b;Pif1;Lars2
vesicle membrane	vesicle membrane;cytoplasmic vesicle membrane	Pi4ka;Snap29;Mff;Abcb6;Spire1;Vti1b;Tmbim1;Bok;Ldlrad4;Bcl2l1
positive regulation of nitrogen compound metabolic process	positive regulation of nitrogen compound metabolic process;positive regulation of macromolecule metabolic process	Abi1;Taf5;Nr2c2;Prelid1;Armcx3;Mul1;Eng;Fxr1;Nif3l1;Phb1;Phb2;Nrdc;Cebpz;Dcun1d3;Mtch2;Camk1;Atp5if1;Bcl2l11;Spire1;Pink1;Htra2;Timm17a;Apex1;Hspd1;Cry1;Trub2;Pus1;Wdr77;Rcc1l;Bax;Kars1;Mtch1;Casp3;Coq7;Nsun4;Slc25a12;Cdk5;Snw1;Bid;Gba1;Bcl2;Adcy10;Bak1;Rpusd4;Guf1;Htatip2;Mrpl12;Bok;Fanci;Rad23a;Bcl2l1;Hexb;Ankrd42;Mfn2;Stoml2
regulation of transcription by RNA polymerase II	regulation of transcription by RNA polymerase II;transcription by RNA polymerase II	Ncor1;Taf5;Nr2c2;Armcx3;Eng;Nif3l1;Phb1;Cebpz;Bud31;Camk1;Ifi27;Apex1;Cry1;Kat14;Pus1;Wdr77;Macroh2a2;Coq7;Snw1;Htatip2;Mxd3;Hexb
